//---------------------------------------------------------------------------------------
// Description: 用于LCD,103,PRINT等进程配置内部描述
// Parameter:   1. 关键字
//              2. 中文描述
//              3. 英文描述
// Version:     R2.12
// 说明：描述之后紧跟分隔符',', 描述中可以有空格
//---------------------------------------------------------------------------------------
// LCD菜单显示
    QUICK_MENU,              快捷菜单,             QuickMenu,
    IEC103_TRIP_ELEMENT,     动作元件,             Op_Element,
    IEC103_SELFSUPERVISION,  装置自检,             Health_Alarm,
    IEC103_BINARY,           遥信,                 Binary_Input,
    IEC103_IO_BINARY,        IO遥信,               IO_Binary_Input,
    IEC103_CTRL_RRT,         装置日志,             Device_Logs,
    IEC103_TELEMETER,        遥测,                 Measmt,
    IEC103_TELECTRL,         遥控,                 Control,
    IEC103_TELEREGULATE,     遥调,                 Regulation,
    IEC103_TELEPLUS,         遥脉,                 Accumulator,
    IEC103_TELESTEP,         档位,                 Tap_Position,
    IEC103_TEST_OP_ZGP,      接地试跳,             EF_TrialTrp,
    IEC103_TEST_ZGP,         接地选线数据,         EF_Prot_Measmt,
    IEC103_SETTING_GROUP,    定值区号,             Setting_Group,
    IEC103_DISTURB_ANALOG,   扰动数据模拟量,       Disturb_Info_Analog,
    IEC103_DISTURB_BINARY,   扰动数据开关量,       Disturb_Info_Binary,
    IEC103_DISTURB_INFO,     扰动数据说明,         Disturb_Info_List,
    IEC103_FAULTINFO,        故障信息,             Fault_Data,
    IEC103_EXPORT,           出口传动,             Test_Mode,
    IEC103_EXTENDED_OUTPUT,  扩展试验,             Extended_Test,
    IEC103_DEBUG_INTERFACE,  调试接口信息,         Debug_Interface_Info,
    IEC103_DEBUG_FUNC_VER,   调试功能版本,         Debug_Func_Version,
    IEC103_FAULT_NOF,        电网故障序号,         NOF,
    BLOCK_COMM,              监视方向闭锁,         En_BlkComm,
    GS_GROUP_NO,             通用分类服务组号,     GenSrv Group No.,
    GS_DATA_INFO,            通用分类服务数据,     GenSrv Data Info,
    PRINT_PAGE,              打印分页,             Print by Page,
    RUN_SETTING_GROUP,       运行定值区号,         Acitive Setting Group No.,
    EDIT_SETTING_GROUP,      编辑定值区号,         Edit Setting Group No.,
    VIRTUAL_ENABLE_BI,       软压板,               Link,
    IEC103_ENABLE_BI,        硬压板,               EBI,
    SECTION_MODE_STR,        断面运行方式状态量,   Section Mode,
    SECTION_DESC_STR,        运行方式描述,         Section Description,
    IEC103_MEASURE,          测量,                 Measurement,
    IEC103_SETTING,          定值,                 Setting,
    IEC103_PARAMETER,        参数,                 Parameter,
    IEC103_UNDEF,            未定义,               Undefined,
    IEC103_MIN_VALUE,        最小值,               Min Value,
    IEC103_MAX_VALUE,        最大值,               Max Value,
    IEC103_STEP_VALUE,       步长,                 Step,
    IEC103_ACC_VALUE,        通道号,               ACC No.,
    IEC103_FUN_CODE,         功能号,               FUN,
    IEC103_INF_CODE,         信息号,               INF,
    IEC103_RESERVE,          备用,                 Resv,
    SIGNAL_RST,              信号复归,             Signal_Reset,
    WRITE_ERR_INF0,          写定值非法,           Setting Write Illegal,
    WRITE_ERR_INF1,          写定值超时,           Setting Write Timeout,
    WRITE_ERR_INF2,          写定值出错,           Setting Write Error,
    WRITE_ERR_INF3,          写组别出错,           Setting Group Write Error,
    WRITE_ERR_INF4,          写遥控出错,           Control Write Error,
    WRITE_ERR_INF5,          写遥调出错,           Regulation Write Error,
    WRITE_ERR_INF6,          写试跳出错,           TrialTrp Write Error,
    IEC103_BIN_CLOSE,        合,                   Close,
    IEC103_BIN_OPEN,         分,                   Open,
    IEC103_TRIP_ACT,         动作,                 Operate,
    IEC103_TRIP_REV,         返回,                 Drop out,
    IEC103_BI_CLOSE,         投入,                 Enable,
    IEC103_BI_OPEN,          退出,                 Disable,
    IEC103_SUPV_ALM,         报警,                 Alarm,
    IEC103_SUPV_INALM,       消失,                 Recover,
    IEC103_VBI_CLOSE,        投入,                 Enable,
    IEC103_VBI_OPEN,         退出,                 Disable,
    IEC103_CTRL_CLOSE,       遥控合闸,             Ctrl_Cls,
    IEC103_CTRL_TRIP,        遥控分闸,             Ctrl_Opn,
    IEC103_NET_STAT,         网络状态,             Net State,
    IEC103_NET_CLOSE,        通,                   Connected,
    IEC103_NET_OPEN,         断,                   Disconnected,
    IEC103_DEVICE_TYPE,      保护,                 Relay,
    IEC103_EWD_TYPE,         带值报告,             Advanced_Records,
    IEC103_EWD_TRP_TYPE,     动作带值报告,         Advanced_Disturb_Records,
    IEC103_EWD_ALM_TYPE,     自检带值报告,         Advanced_Superv_Events,
    IEC103_EWD_CHG_TYPE,     变位带值报告,         Advanced_IO_Events,
    IEC103_EWD_DATA_TYPE,    关联数据,             Advanced_Records_Data,
    IEC103_EWD_CLOSE,        合,                   Close,
    IEC103_EWD_OPEN,         分,                   Open,
    
    
// 枚举类型为type=bl和sl的描述（建议放在文件尾部,加快搜索. 英文描述不允许出现空格，否则会造成工具无法识别）--------
    ENUM_DESC_01,            投入,                 Enable,
    ENUM_DESC_02,            退出,                 Disable,
    ENUM_DESC_03,            一次值,               PriValue,
    ENUM_DESC_04,            二次值,               SecValue,
    ENUM_DESC_05,            不允许,               Not_Allow,
    ENUM_DESC_06,            允许,                 Allow,
    ENUM_DESC_07,            硬对时,               Conventional,
    ENUM_DESC_08,            软对时,               SAS,
    ENUM_DESC_09,            扩展板对时,           Advanced,
    ENUM_DESC_10,            无对时,               NoTimeSyn,
    ENUM_DESC_11,            当前语言,             Current_Language,
    ENUM_DESC_12,            固定中文,             Fixed_Chinese,
    ENUM_DESC_13,            固定英文,             Fixed_English,
    ENUM_DESC_14,            南瑞继保103,          NR103,
    ENUM_DESC_15,            浙江103,              ZJ103,
    ENUM_DESC_16,            华东103,              HD103,
    ENUM_DESC_17,            广东103,              GD103,
    ENUM_DESC_18,            稳控103,              WK103,
    ENUM_DESC_19,            备用1,                Resv1,
    ENUM_DESC_20,            备用2,                Resv2,
    ENUM_DESC_21,            备用3,                Resv3,
    ENUM_DESC_22,            备用4,                Resv4,
    ENUM_DESC_23,            备用5,                Resv5,
    ENUM_DESC_24,            备用6,                Resv6,
    ENUM_DESC_25,            备用7,                Resv7,
    ENUM_DESC_26,            备用8,                Resv8,
    ENUM_DESC_27,            1:BISingleBit,        1:BISingleBit,
    ENUM_DESC_28,            2:BIWithStatus,       2:BIWithStatus,
    ENUM_DESC_29,            1:BIChWoutT,          1:BIChWoutT,
    ENUM_DESC_30,            2:BIChWithAbsTime,    2:BIChWithAbsTime,
    ENUM_DESC_31,            3:BIChWithRelTime,    3:BIChWithRelTime,
    ENUM_DESC_32,            1:AI32Int,            1:AI32Int,
    ENUM_DESC_33,            2:AI16Int,            2:AI16Int,
    ENUM_DESC_34,            3:AI32IntWoutF,       3:AI32IntWoutF,
    ENUM_DESC_35,            4:AI16IntWoutF,       4:AI16IntWoutF,
    ENUM_DESC_36,            5:AI32Flt,            5:AI32Flt,
    ENUM_DESC_37,            1:AI32IntEvWoutT,     1:AI32IntEvWoutT,
    ENUM_DESC_38,            2:AI16IntEvWoutT,     2:AI16IntEvWoutT,
    ENUM_DESC_39,            5:AI32FltEvWoutT,     5:AI32FltEvWoutT,
    ENUM_DESC_40,            1:AO32Int,            1:AO32Int,
    ENUM_DESC_41,            2:AO16Int,            2:AO16Int,
    ENUM_DESC_42,            3:AO32Flt,            3:AO32Flt,
    ENUM_DESC_43,            常规,                 STP,
    ENUM_DESC_44,            PRP,                  PRP,
    ENUM_DESC_45,            HSR,                  HSR,
    
